20486,hartford,1987,ECACN,0.484,71.8,Anthony Moye,30,0,0,0.416,0.45,0.366,0.819,3.6,2.7,1.3,0.1,0,19.4,Jack Phelan 
20487,southern-california,1987,Pac-10,0.25,62.1,Anthony Pendleton,23,0,0,0.341,0.3,0.35,0.545,0.7,1.1,0.4,0.1,0,7.6,George Raveling 
20488,san-jose-state,1987,PCAA,0.483,72.1,Anthony Perry,29,0,0,0.276,0.294,0.25,0.688,1.9,1.6,0.7,0,0,4.8,Bill Berry 
20489,mcneese-state,1987,Southland,0.241,69.3,Anthony Pullard,26,0,34.9,0.528,0.53,0,0.72,8.2,1,0.7,0.5,0,16,Steve Welch 
20490,morgan-state,1987,MEAC,0.433,75.9,Anthony Reid,14,0,5.9,0.423,0.423,0,0.6,1.3,0,0,0,0.8,2.4,Nathaniel Frazier 
20491,tennessee,1987,SEC,0.552,73.2,Anthony Richardson,24,15,16.6,0.494,0.507,0.25,0.441,3.5,1,0.6,0.2,1.2,3.8,Don DeVoe 
20492,bowling-green-state,1987,MAC,0.429,68,Anthony Robinson,28,28,0,0.492,0.498,0.333,0.677,5,3.1,0.6,0.1,2.5,14.5,Jim Larranaga 
20493,georgia-tech,1987,ACC,0.688,81.7,Anthony Sherrod,31,1,12.8,0.505,0.515,0,0.784,2.6,0.6,0.4,0,0.6,4.2,Bobby Cremins 
20494,western-kentucky,1987,Sun Belt,0.536,72.5,Anthony Smith,28,28,32.6,0.544,0.544,0,0.733,10.4,0.7,0.5,1,1.8,11.2,Murray Arnold 
20495,oregon,1987,Pac-10,0.533,67.6,Anthony Taylor,26,0,37.2,0.458,0.463,0.442,0.834,4.3,2.4,1.2,0.2,2.9,21.3,Don Monson 
20496,nevada-las-vegas,1987,PCAA,0.824,84.3,Anthony Todd,34,0,20.7,0.516,0.521,0,0.678,5.1,0.6,0.6,0.1,0,7.6,Jerry Tarkanian 
20497,georgetown,1987,Big East,0.667,71.9,Anthony Tucker,28,10,12.5,0.488,0.488,0,0.6,3.2,0.4,0.7,0.3,1.3,4.9,John Thompson 
20498,cincinnati,1987,Metro,0.393,81,Anthony Yates,0,0,0,0,0,0,0,0,0,0,0,0,0,Tony Yates 
20499,manhattan,1987,MAAC,0.233,75.1,Antoine Owens,22,0,4.8,0.4,0.4,0,0.714,0.4,0.3,0.3,0,0.3,1.2,Delle Bovi 
20500,idaho,1987,Big Sky,0.633,65.3,Antonio Campbell,30,0,0,0.412,0.391,0.6,0.644,1.3,3.7,0.8,0,0,2.5,Tim Floyd 
20501,texas-el-paso,1987,WAC,0.697,70.3,Antonio Davis,30,30,30.2,0.59,0.59,0,0.548,6.5,0.7,0.6,1.2,1.9,9.3,Don Haskins 
20502,north-carolina-wilmington,1987,CAA,0.517,67,Antonio Howard,29,0,0,0.49,0.498,0.2,0.828,2.3,2,1.2,0,1.7,11,Robert McPherson 
20503,wake-forest,1987,ACC,0.357,72.4,Antonio Johnson,28,7,18,0.39,0.478,0.344,0.714,1.9,1.6,0.5,0,1.6,5.6,Bob Staak 
20504,virginia-tech,1987,Metro,0.655,91.2,Antony Moses,28,3,11.8,0.491,0.509,0,0.547,2.8,0.5,0.3,0,1.1,5,Frankie Allen 
20505,loyola-il,1987,MW Coll,0.448,78.3,Antowne Johnson,29,0,0,0.44,0.444,0,0.557,4.6,1.3,0.6,0.2,0,8.6,Gene Sullivan 
20506,kansas,1987,Big 8,0.711,75.3,Archie Marshall,12,11,20.6,0.5,0.494,0.545,0.563,4,1.4,0.4,0.2,0.7,8.8,Larry Brown 
20507,alabama-state,1987,SWAC,0.286,84.6,Ariek Steverson,12,2,7.7,0.385,0.385,0,0.833,1,0.1,0.2,0.3,0.5,1.3,James Oliver 
20508,duquesne,1987,A-10,0.344,76.6,Arnd Neuhaus,28,25,26.9,0.535,0.535,0,0.745,4.9,0.7,0.8,0.3,1.3,11.8,Jim Satalin 
20509,boise-state,1987,Big Sky,0.8,69.3,Arnell Jones,30,0,0,0.661,0.661,0,0.661,7.2,1.5,1.8,0.6,0,16.4,Bobby Dye 
20510,samford,1987,A-Sun,0.259,67.6,Arnold Hamilton,27,0,0,0.406,0.449,0.34,0.726,4.1,1.3,1.4,0,0,16.3,Ed McLean 
20511,howard,1987,MEAC,0.556,76.1,Arnold Jolivet,4,0,5,0.25,0.25,0,0.5,0,0,0,0,0.3,0.8,A.B. Williamson 
20512,george-washington,1987,A-10,0.464,70.6,Art Connell,5,0,0,0,0,0,0.5,1,0,0,0.2,0,0.8,John Kuester 
20513,saint-peters,1987,MAAC,0.69,69.5,Art Flaherty,22,1,15.5,0.4,0.426,0.346,0.455,1.3,1.7,1,0.1,1.6,4,Ted Fiore 
20514,valparaiso,1987,Mid-Cont,0.429,65.4,Art Goodwin,28,0,0,0.417,0.391,0.5,0.467,1.7,4.3,1.5,0.1,0,3.4,Tom Smith 
20515,yale,1987,Ivy,0.462,69.6,Art Mann,13,0,4.8,0.375,0.429,0,0.8,0.6,0.1,0.5,0.1,0.4,1.2,Dick Kuchen 
20516,oklahoma,1987,Big 8,0.897,102.9,Art Pollard,18,0,0,0.439,0.565,0.278,0.5,0.7,0.2,0.2,0,0,2.6,Billy Tubbs 
20517,lamar,1987,ASC,0.645,71.8,Art Prevost,9,0,0,0.385,0.286,0.5,0.333,0.9,1.1,0.4,0,0,1.7,Tom Abatemarco 
20518,siena,1987,ECACN,0.793,82.3,Art Smith,11,0,13.5,0.605,0.605,0,0.625,4,0,0.5,0.5,0.6,5.1,Mike Deane 
20519,south-florida,1987,Sun Belt,0.214,68,Arthur Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,Bobby Paschal 
20520,drexel,1987,ECC,0.643,81.3,Arthur Clark,13,0,0,0.6,0.6,0,0.667,1.4,0.2,0.1,0.3,0,1.5,Eddie Burke 
20521,alcorn-state,1987,SWAC,0.276,72.4,Arthur Harris,29,2,14.4,0.484,0.5,0.357,0.64,1.3,1.5,0.6,0,1.8,4.9,Davey Whitney 
20522,brown,1987,Ivy,0.231,77.5,Arthur Jackson,26,0,0,0.478,0.49,0.444,0.647,4.9,0.8,0.3,0,0,7,Mike Cingiser 
20523,arizona-state,1987,Pac-10,0.448,76.8,Arthur Thomas,27,0,0,0.453,0.476,0.373,0.787,3.1,2.9,1.3,0,0,15.2,Steve Patterson 
20524,radford,1987,Big South,0.533,71.8,Aswan Wainwright,30,0,0,0.555,0.555,0,0.589,7.2,0.4,0.5,0.7,0,13.6,Joe Davis 
20525,florida-state,1987,Metro,0.633,84.3,Aubry Boyd,28,0,0,0.421,0.441,0.391,0.692,0.7,1.4,0.4,0,0,2.7,Pat Kennedy 
20526,youngstown-state,1987,OVC,0.25,63.8,Aundra Brown,4,0,0,0.143,0.167,0,1,1.3,1.5,0.3,0,0,1,Jim Cleamons 
20527,southern,1987,SWAC,0.774,95.6,Avery Johnson,30,0,38.2,0.537,0.552,0.468,0.688,2.8,13.3,3.5,0,0,11.4,Ben Jobe 
20528,louisville,1987,Metro,0.686,82.7,Avery Marshall,6,0,0,0,0,0,0,0.8,0.2,0,0.2,0,0,Denny Crum 
20529,north-carolina-state,1987,ACC,0.774,85.7,Avie Lester,32,2,10.5,0.455,0.455,0,0.581,2,0.2,0.3,0.8,0.4,2.7,Jim Valvano 
20530,iowa,1987,Big Ten,0.706,93.6,B.J. Armstrong,34,34,30.1,0.482,0.496,0.453,0.849,2.2,4.6,1.8,0,2.3,17.4,Tom Davis 
