team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
missouri-kansas-city,1991,Ind,0.75,77.6,"Anthony Davis",28,10,13.8,0.606,0.606,0,0.444,3.4,0.4,0.3,0.5,0.7,3.8,"Lee Hunt "
memphis,1991,GMWC,0.676,74.3,"Anthony Douglas",34,0,0,0.52,0.52,0,0.686,5.8,0.8,1,0.1,0,9.8,"Larry Finch "
missouri-state,1991,MVC,0.742,64.6,"Anthony Edwards",23,0,8,0.462,0.455,0.5,0.6,1,0.8,0.4,0,0.7,2.1,"Charles Spoonhour "
indiana-state,1991,MVC,0.464,60.6,"Anthony Ferguson",20,0,5.9,0.368,0.375,0.333,0.8,1,0.5,0.1,0,0.4,1.4,"Tates Locke "
syracuse,1991,"Big East",0.688,74.5,"Anthony Harris",18,1,12.2,0.412,0.414,0.4,0.75,0.9,1.1,0.2,0.2,1.2,3.5,"Jim Boeheim "
south-carolina-state,1991,MEAC,0.483,71.1,"Anthony Higginbotham",27,0,0,0.373,0.395,0.286,0.683,2.1,3,1.3,0,0,4.1,"Cy Alexander "
fairleigh-dickinson,1991,NEC,0.5,69.3,"Anthony Hughes",8,0,5.4,0.421,0.4,0.444,0.75,0.9,0.6,0.3,0,0.6,2.9,"Tom Green "
north-carolina-at,1991,MEAC,0.667,76.5,"Anthony Jones",20,0,5.5,0.6,0.571,1,0.455,0.8,0.4,0.3,0.1,0.4,1.2,"Don Corbett "
texas-southern,1991,SWAC,0.517,76.8,"Anthony Jones",21,0,10.3,0.507,0.541,0.167,0.8,2.1,0.1,0.7,0,0.7,4.8,"Robert Moreland "
miami-fl,1991,"Big East",0.25,60.7,"Anthony Lawrence",26,11,20.7,0.371,0.382,0.321,0.642,4.7,0.4,0.4,0.5,2.2,6.7,"Leonard Hamilton "
montana,1991,"Big Sky",0.871,76.2,"Anthony Mayfield",17,0,4.6,0.278,0.294,0,0.5,1.1,0.4,0.2,0,0.5,0.9,"Blaine Taylor "
weber-state,1991,"Big Sky",0.552,80.4,"Anthony McGowan",29,27,24.5,0.519,0.519,0,0.523,5.7,1.2,1.1,1.1,1.4,8.5,"Ron Abegglen "
michigan-state,1991,"Big Ten",0.733,74,"Anthony Miller",30,3,18.5,0.539,0.539,0,0.625,5.2,0.8,0.5,0.3,1.8,7.2,"Jud Heathcote "
cal-state-northridge,1991,Ind,0.393,70.6,"Anthony Moten",4,0,2.5,0,0,0,0,0.3,0.3,0,0,0.3,0,"Pete Cassidy "
virginia,1991,ACC,0.606,70,"Anthony Oliver",33,30,21.5,0.433,0.442,0.348,0.692,2.8,1.2,1,0.2,1.2,7.3,"Jeff Jones "
missouri,1991,"Big 8",0.7,79.4,"Anthony Peeler",29,0,35.4,0.459,0.475,0.417,0.806,5.5,3.9,2.1,0.3,3.5,23.4,"Norm Stewart "
