team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
pittsburgh,2017,ACC,0.25,62,"Joe Mascaro",4,0,1,0,0,0,0,0,0.3,0,0,0,0,"Kevin Stallings "
california-davis,2017,"Big West",0.667,72.4,"Joe Mooney",28,1,18.8,0.417,0.491,0.376,0.636,1.6,0.9,0.9,0,0.9,6.5,"Jim Les "
montana-state,2017,"Big Sky",0.406,76.1,"Joe Mvuezolo Jr.",32,2,20.9,0.405,0.448,0.337,0.694,3.4,0.8,0.6,0.6,1.2,7.8,"Brian Fish "
loyola-marymount,2017,WCC,0.355,71.8,"Joe Quintana",21,7,10.2,0.254,0.19,0.289,0,0.6,0.7,0.4,0,0.6,2,"Mike Dunlap "
denver,2017,Summit,0.5,73.1,"Joe Rosga",30,30,34.2,0.481,0.526,0.44,0.901,4.1,2.9,0.7,0.1,2.2,16.1,"Rodney Billups "
texas,2017,"Big 12",0.559,72.1,"Joe Schwartz",4,0,1.3,0,0,0,0,0,0.3,0,0,0,0,"Shaka Smart "
maryland-baltimore-county,2017,AEC,0.694,73.1,"Joe Sherburne",36,29,29.1,0.453,0.511,0.412,0.655,3.9,1.9,0.8,0.3,0.9,10.7,"Ryan Odom "
south-alabama,2017,"Sun Belt",0.438,69.6,"Joe Thompson",26,2,11.5,0.383,0.447,0.154,0.583,2.6,0.2,0.2,0.3,0.7,2.7,"Matthew Graves "
vanderbilt,2017,SEC,0.375,72.4,"Joe Toye",32,9,18.8,0.4,0.511,0.263,0.614,2,0.8,0.3,0.3,1.3,5.7,"Bryce Drew "
hofstra,2017,CAA,0.613,79.5,"Joel Angus III",21,17,17.1,0.483,0.483,0,0.826,3.7,0.4,0.4,0.2,0.5,4.9,"Joe Mihalich "
north-carolina,2017,ACC,0.703,81.6,"Joel Berry",36,36,33.1,0.396,0.451,0.344,0.893,3.5,3.2,1.2,0.3,1.9,17.1,"Roy Williams "
coppin-state,2017,MEAC,0.156,60.8,"Joel Boyce",6,2,12.5,0.556,0.625,0,0.4,2,0.5,0.7,0,1.8,3.7,"Juan Dixon "
cornell,2017,Ivy,0.429,75.9,"Joel Davis",28,14,17.6,0.377,0.432,0.235,0.653,2.5,1.1,0.9,0.4,1.1,4.7,"Brian Earl "
long-island-university,2017,NEC,0.514,77,"Joel Hernandez",35,34,32.9,0.461,0.495,0.374,0.664,5.8,2.6,0.5,0.5,3,20.5,"Derek Kellogg "
southern-utah,2017,"Big Sky",0.406,75.5,"Joel Swallow",7,0,3.3,0.333,0.333,0,0.5,0.9,0,0,0,0.1,0.7,"Todd Simon "
arkansas-pine-bluff,2017,SWAC,0.4,65.9,"JoeRandle Toliver",35,2,20,0.397,0.615,0.379,0.588,2.5,1.7,0.8,0.1,0.9,6,"George Ivory "
butler,2017,"Big East",0.6,78.9,"Joey Brunk",20,0,5.5,0.524,0.524,0,0.5,1.8,0.2,0,0.1,0.4,1.3,"LaVall Jordan "
south-florida,2017,AAC,0.313,63.3,"Joey Coffaro",5,0,1.2,0,0,0,0,0.2,0.2,0,0,0,0,"Brian Gregory "
rutgers,2017,"Big Ten",0.441,65.2,"Joey Downes",5,0,3.2,0.25,0,0.25,0,0.2,0.2,0.6,0,0,0.6,"Steve Pikiell "
lamar,2017,Southland,0.576,75.8,"Joey Frenchwood",29,25,28,0.349,0.373,0.333,0.692,2.4,4.2,1.6,0.1,2.4,7.7,"Tic Price "
dayton,2017,A-10,0.452,72.4,"Joey Gruden",6,1,1.7,0.5,0,0.5,0,0,0,0.2,0,0.3,0.5,"Anthony Grant "
ohio-state,2017,"Big Ten",0.735,76.2,"Joey Lane",10,0,2.8,0.273,0.25,0.286,0.75,0.4,0.2,0.1,0,0.2,1.1,"Chris Holtmann "
james-madison,2017,CAA,0.313,73.2,"Joey McLean",25,17,25,0.38,0.444,0.28,0.826,1.6,2.1,0.9,0.2,1.5,8.2,"Louis Rowe "
massachusetts-lowell,2017,AEC,0.4,76.2,"Joey Naccarato",13,0,5.2,0.333,0.444,0.167,0.737,0.8,0.2,0,0,0.3,1.9,"Pat Duquette "
